file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,93,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,25
styles.css,94,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,15
styles.css,95,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,8
styles.css,96,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,0
styles.css,97,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,0,0
styles.css,98,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,0,0
styles.css,99,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,0,20
styles.css,100,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,8
styles.css,101,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,0,0
styles.css,102,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,0,0
styles.css,103,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,0,7
styles.css,104,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,11
styles.css,105,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,58
styles.css,106,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,7
styles.css,107,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,0,0
styles.css,108,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,0,0
styles.css,109,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,0,17
styles.css,110,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,25
styles.css,111,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,15
styles.css,112,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,8
styles.css,113,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,1,0
styles.css,114,css,36fd127c,Gabriel Tedja,2025-10-10,10:43:43,-07:00,2025-10-10T10:43:43-07:00,0,0
styles.css,115,css,e45b4d62,Gabriel Tedja,2025-10-17,16:25:28,-07:00,2025-10-17T16:25:28-07:00,0,0
styles.css,116,css,e45b4d62,Gabriel Tedja,2025-10-17,16:25:28,-07:00,2025-10-17T16:25:28-07:00,0,13
styles.css,117,css,e45b4d62,Gabriel Tedja,2025-10-17,16:25:28,-07:00,2025-10-17T16:25:28-07:00,1,17
styles.css,118,css,e45b4d62,Gabriel Tedja,2025-10-17,16:25:28,-07:00,2025-10-17T16:25:28-07:00,1,8
styles.css,119,css,69835a93,Gabriel Tedja,2025-10-17,17:31:22,-07:00,2025-10-17T17:31:22-07:00,1,9
styles.css,120,css,e45b4d62,Gabriel Tedja,2025-10-17,16:25:28,-07:00,2025-10-17T16:25:28-07:00,1,14
styles.css,121,css,e45b4d62,Gabriel Tedja,2025-10-17,16:25:28,-07:00,2025-10-17T16:25:28-07:00,1,19
styles.css,122,css,69835a93,Gabriel Tedja,2025-10-17,17:31:22,-07:00,2025-10-17T17:31:22-07:00,0,0
styles.css,123,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,10
styles.css,124,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,12
styles.css,125,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,14
styles.css,126,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,29
styles.css,127,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,15
styles.css,128,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,10
styles.css,129,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,22
styles.css,130,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,131,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,132,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,18
styles.css,133,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,14
styles.css,134,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,16
styles.css,135,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,136,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,16
styles.css,137,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,138,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,139,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,7
styles.css,140,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,6
styles.css,141,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,14
styles.css,142,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,12
styles.css,143,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,57
styles.css,144,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,15
styles.css,145,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,15
styles.css,146,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,22
styles.css,147,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,16
styles.css,148,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,17
styles.css,149,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,12
styles.css,150,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,151,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,152,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,12
styles.css,153,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,12
styles.css,154,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,18
styles.css,155,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,10
styles.css,156,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,22
styles.css,157,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,16
styles.css,158,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,159,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,160,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,7
styles.css,161,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,20
styles.css,162,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,9
styles.css,163,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,10
styles.css,164,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,18
styles.css,165,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,29
styles.css,166,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,17
styles.css,167,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,168,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,169,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,17
styles.css,170,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,16
